Algorithm picked: 0
Picked Trial Division
20000000
Time elapsed: 2.05e-08s
Time elapsed: 0.000625411s
Time elapsed: 0.000922202s
Time elapsed: 0.000998493s
Time elapsed: 0.000672587s
Time elapsed: 0.00071175s
Time elapsed: 0.00076994s
Time elapsed: 0.000802663s
Time elapsed: 0.00086117s
Time elapsed: 0.000892232s
Time elapsed: 0.000946542s
Time elapsed: 0.00096443s
Time elapsed: 0.000993409s
Time elapsed: 0.00103546s
Time elapsed: 0.00107292s
Time elapsed: 0.00109191s
Time elapsed: 0.00112371s
Time elapsed: 0.0011339s
Time elapsed: 0.00118683s
Time elapsed: 0.00120866s
Time elapsed: 0.00122855s
Time elapsed: 0.00126748s
Time elapsed: 0.00126964s
Time elapsed: 0.00131157s
Time elapsed: 0.00130022s
Time elapsed: 0.00136833s
Time elapsed: 0.00136805s
Time elapsed: 0.00139624s
Time elapsed: 0.00140647s
Time elapsed: 0.00143218s
Time elapsed: 0.00142619s
Time elapsed: 0.00149114s
Time elapsed: 0.00149475s
Time elapsed: 0.00152978s
Time elapsed: 0.00152593s
Time elapsed: 0.00156389s
Time elapsed: 0.00156136s
Time elapsed: 0.00157726s
Time elapsed: 0.00160319s
Time elapsed: 0.00161179s
Time elapsed: 0.00165252s
Time elapsed: 0.00163111s
Time elapsed: 0.00167925s
Time elapsed: 0.0016846s
Time elapsed: 0.0017269s
Time elapsed: 0.00171995s
Time elapsed: 0.00173347s
Time elapsed: 0.00177922s
Time elapsed: 0.00180278s
Time elapsed: 0.0017706s
Time elapsed: 0.00180342s
Time elapsed: 0.00180494s
Time elapsed: 0.00182554s
Time elapsed: 0.00184059s
Time elapsed: 0.00183833s
Time elapsed: 0.00185315s
Time elapsed: 0.00187104s
Time elapsed: 0.00188451s
Time elapsed: 0.00191499s
Time elapsed: 0.0019311s
Time elapsed: 0.00191496s
Time elapsed: 0.00195629s
Time elapsed: 0.00195995s
Time elapsed: 0.00194871s
Time elapsed: 0.00196605s
Time elapsed: 0.00200673s
Time elapsed: 0.00199006s
Time elapsed: 0.00201282s
Time elapsed: 0.00203706s
Time elapsed: 0.00205708s
Time elapsed: 0.00202886s
Time elapsed: 0.00209462s
Time elapsed: 0.00206098s
Time elapsed: 0.002119s
Time elapsed: 0.00210195s
Time elapsed: 0.0020523s
Time elapsed: 0.00213126s
Time elapsed: 0.00214539s
Time elapsed: 0.00214087s
Time elapsed: 0.00215818s
Time elapsed: 0.00217153s
Time elapsed: 0.00217749s
Time elapsed: 0.00217193s
Time elapsed: 0.00221186s
Time elapsed: 0.00221355s
Time elapsed: 0.00219505s
Time elapsed: 0.00221325s
Time elapsed: 0.00227191s
Time elapsed: 0.00224549s
Time elapsed: 0.00226104s
Time elapsed: 0.00226289s
Time elapsed: 0.00231346s
Time elapsed: 0.00225358s
Time elapsed: 0.00231905s
Time elapsed: 0.00228s
Time elapsed: 0.00229123s
Time elapsed: 0.00238896s
Time elapsed: 0.00245339s
Time elapsed: 0.00235365s
Time elapsed: 0.00233637s
Time elapsed: 0.00238122s
Time elapsed: 0.00243453s
Time elapsed: 0.00239852s
Time elapsed: 0.00240181s
Time elapsed: 0.00236018s
Time elapsed: 0.00242427s
Time elapsed: 0.00240017s
Time elapsed: 0.00242598s
Time elapsed: 0.00245237s
Time elapsed: 0.00243864s
Time elapsed: 0.00248939s
Time elapsed: 0.00251145s
Time elapsed: 0.00247198s
Time elapsed: 0.00250832s
Time elapsed: 0.00254208s
Time elapsed: 0.00249681s
Time elapsed: 0.00254018s
Time elapsed: 0.00257064s
Time elapsed: 0.00256226s
Time elapsed: 0.00258041s
Time elapsed: 0.00255976s
Time elapsed: 0.00248817s
Time elapsed: 0.00261666s
Time elapsed: 0.00253118s
Time elapsed: 0.00254764s
Time elapsed: 0.00260862s
Time elapsed: 0.00261058s
Time elapsed: 0.00261424s
Time elapsed: 0.002621s
Time elapsed: 0.00264363s
Time elapsed: 0.00259848s
Time elapsed: 0.00263972s
Time elapsed: 0.00262533s
Time elapsed: 0.00266099s
Time elapsed: 0.00267884s
Time elapsed: 0.00264429s
Time elapsed: 0.00269284s
Time elapsed: 0.00268001s
Time elapsed: 0.00273608s
Time elapsed: 0.00268448s
Time elapsed: 0.00278002s
Time elapsed: 0.00266675s
Time elapsed: 0.0026686s
Time elapsed: 0.00277913s
Time elapsed: 0.00277195s
Time elapsed: 0.00274606s
Time elapsed: 0.00274545s
Time elapsed: 0.00280031s
Time elapsed: 0.00277448s
Time elapsed: 0.00278181s
Time elapsed: 0.00278014s
Time elapsed: 0.00287376s
Time elapsed: 0.00280879s
Time elapsed: 0.0028144s
Time elapsed: 0.00278862s
Time elapsed: 0.0028217s
Time elapsed: 0.00284815s
Time elapsed: 0.00281764s
Time elapsed: 0.00285191s
Time elapsed: 0.00285029s
Time elapsed: 0.00281108s
Time elapsed: 0.00295078s
Time elapsed: 0.00286615s
Time elapsed: 0.00291181s
Time elapsed: 0.00288057s
Time elapsed: 0.00289599s
Time elapsed: 0.00290967s
Time elapsed: 0.002972s
Time elapsed: 0.00294007s
Time elapsed: 0.00286117s
Time elapsed: 0.0029637s
Time elapsed: 0.00295946s
Time elapsed: 0.00293073s
Time elapsed: 0.00295093s
Time elapsed: 0.00293535s
Time elapsed: 0.00297857s
Time elapsed: 0.00295645s
Time elapsed: 0.00295103s
Time elapsed: 0.00300207s
Time elapsed: 0.00297439s
Time elapsed: 0.00301824s
Time elapsed: 0.0030254s
Time elapsed: 0.00297894s
Time elapsed: 0.00310275s
Time elapsed: 0.00298157s
Time elapsed: 0.00305061s
Time elapsed: 0.00308405s
Time elapsed: 0.00309016s
Time elapsed: 0.00304118s
Time elapsed: 0.00308477s
Time elapsed: 0.00309004s
Time elapsed: 0.00308382s
Time elapsed: 0.00308994s
Time elapsed: 0.00313128s
Time elapsed: 0.00307s
Time elapsed: 0.00309428s
Time elapsed: 0.00309828s
Time elapsed: 0.00307956s
Time elapsed: 0.00309136s
Time elapsed: 0.0031179s
Time elapsed: 0.00319718s
Time elapsed: 0.00317358s
Time elapsed: 0.00314892s
Time elapsed: 0.00315996s
Time elapsed: 0.00314733s
Time elapsed: 0.00312958s
Time elapsed: 0.00318946s
Time elapsed: 0.00318506s
Time elapsed: 0.00315377s
Time elapsed: 0.0032017s
Time elapsed: 0.00316176s
Time elapsed: 0.00324718s
Time elapsed: 0.00319613s
Time elapsed: 0.00323528s
Time elapsed: 0.00320679s
Time elapsed: 0.00322531s
Time elapsed: 0.0033976s
Time elapsed: 0.00344232s
Time elapsed: 0.00321847s
Time elapsed: 0.00330433s
Time elapsed: 0.00324279s
Time elapsed: 0.0033489s
Time elapsed: 0.00324556s
Time elapsed: 0.00339208s
Time elapsed: 0.0033057s
Time elapsed: 0.00337029s
Time elapsed: 0.00333087s
Time elapsed: 0.00339541s
Time elapsed: 0.00338288s
Time elapsed: 0.00331444s
Time elapsed: 0.00337529s
Time elapsed: 0.00336801s
Time elapsed: 0.00335337s
Time elapsed: 0.00337145s
Time elapsed: 0.00334878s
Time elapsed: 0.00336395s
